customer_id,gender,senior_citizen,tenure_months,contract,payment_method,monthly_charges,total_charges,internet_service,online_security,tech_support,churn
CUST-0104,Male,1,47,Two year,Mailed check,24.96,1028.97,No,No,No,No
CUST-0105,Male,0,49,Month-to-month,Credit card,68.9,3057.04,No,No,No,No
CUST-0106,Female,0,55,Two year,Credit card,118.58,6765.72,DSL,No,No,No
CUST-0107,Female,0,25,Month-to-month,Credit card,87.38,2042.74,DSL,No,No,No
CUST-0108,Female,0,71,Month-to-month,Bank transfer,22.69,1472.68,Fiber optic,No internet,Yes,Yes
CUST-0109,Male,0,44,One year,Credit card,81.83,3615.65,DSL,Yes,No,No
CUST-0110,Female,0,23,Month-to-month,Credit card,33.84,795.02,Fiber optic,No internet,No,No
CUST-0111,Female,0,34,Two year,Bank transfer,71.57,2309.71,Fiber optic,No,Yes,No
CUST-0112,Male,1,48,One year,Bank transfer,40.7,2061.87,DSL,No internet,No,Yes
CUST-0113,Male,0,53,One year,Electronic check,83.53,3802.63,Fiber optic,No internet,No,Yes
CUST-0114,Male,0,35,Month-to-month,Electronic check,46.51,1642.27,No,Yes,No,Yes
CUST-0115,Female,1,1,One year,Mailed check,80.06,68.04,Fiber optic,No internet,No,Yes
CUST-0116,Male,0,6,Month-to-month,Mailed check,86.67,513.27,DSL,No,Yes,No
CUST-0117,Female,0,8,One year,Electronic check,58.56,446.0,DSL,Yes,No internet,No
CUST-0118,Female,0,7,Month-to-month,Bank transfer,92.47,680.25,DSL,Yes,No,No
CUST-0119,Male,0,38,Month-to-month,Bank transfer,28.54,1184.01,Fiber optic,No,Yes,No
CUST-0120,Male,0,57,Month-to-month,Credit card,104.57,4972.66,No,No,No,Yes
CUST-0121,Female,1,57,Month-to-month,Mailed check,103.42,4924.58,DSL,No,Yes,Yes
CUST-0122,Female,0,35,Two year,Credit card,54.62,1904.31,DSL,No,No internet,No
CUST-0123,Female,1,66,Two year,Mailed check,106.51,6890.74,Fiber optic,No,No,No
CUST-0124,Female,1,54,Month-to-month,Electronic check,29.56,1477.7,DSL,Yes,No,Yes
CUST-0125,Male,0,3,Two year,Mailed check,75.92,217.38,Fiber optic,No,Yes,Yes
CUST-0126,Female,0,7,Two year,Bank transfer,77.57,454.94,No,No,No internet,No
CUST-0127,Female,0,41,Month-to-month,Bank transfer,50.97,1798.33,DSL,Yes,No,No
CUST-0128,Male,0,65,Month-to-month,Electronic check,89.58,6307.51,Fiber optic,No internet,Yes,No
CUST-0129,Female,0,16,Month-to-month,Credit card,118.58,1995.15,Fiber optic,No,Yes,No
CUST-0130,Male,1,9,One year,Mailed check,111.32,918.11,Fiber optic,No internet,No,No
CUST-0131,Male,1,42,Month-to-month,Mailed check,82.85,3008.36,DSL,Yes,No,No
CUST-0132,Female,0,54,Month-to-month,Bank transfer,50.45,2982.79,Fiber optic,No internet,No,No
CUST-0133,Female,0,61,Two year,Credit card,94.09,5525.82,Fiber optic,Yes,Yes,No
CUST-0134,Male,0,28,Month-to-month,Electronic check,25.85,644.17,Fiber optic,Yes,No,No
CUST-0135,Female,0,42,One year,Electronic check,21.67,820.66,Fiber optic,Yes,No internet,No
CUST-0136,Male,0,31,One year,Credit card,51.07,1510.89,Fiber optic,No,No,No
CUST-0137,Female,1,64,Month-to-month,Bank transfer,67.55,4440.26,Fiber optic,Yes,Yes,No
CUST-0138,Male,0,68,Two year,Credit card,40.4,2878.9,Fiber optic,Yes,No,No
CUST-0139,Female,1,19,Month-to-month,Credit card,39.27,625.8,DSL,Yes,No,Yes
CUST-0140,Male,1,34,Two year,Mailed check,20.71,659.79,DSL,No,No,No
CUST-0141,Male,0,21,Month-to-month,Electronic check,92.05,1709.87,Fiber optic,Yes,No,Yes
CUST-0142,Male,0,61,Two year,Electronic check,65.71,3555.68,Fiber optic,No,No internet,No
CUST-0143,Female,1,10,One year,Credit card,110.89,1148.33,No,Yes,No,No
CUST-0144,Male,0,25,Two year,Electronic check,34.28,834.67,No,Yes,No,No
CUST-0145,Female,0,40,Month-to-month,Mailed check,63.96,2438.51,DSL,No internet,No internet,Yes
CUST-0146,Male,0,66,Two year,Electronic check,87.97,5637.96,DSL,No,No,No
CUST-0147,Male,1,19,One year,Credit card,119.54,2012.91,DSL,No internet,No internet,No
CUST-0148,Female,0,68,One year,Bank transfer,42.73,2798.53,Fiber optic,No,No,No
CUST-0149,Female,0,23,Month-to-month,Bank transfer,54.7,1169.46,Fiber optic,No,No internet,No
CUST-0150,Female,0,65,Month-to-month,Credit card,95.06,5380.58,Fiber optic,No internet,Yes,Yes
CUST-0151,Male,0,18,One year,Bank transfer,107.25,1685.8,Fiber optic,Yes,Yes,No
CUST-0152,Male,0,9,Two year,Mailed check,44.4,435.57,No,No internet,No,No
CUST-0153,Female,0,66,One year,Bank transfer,88.78,5168.31,Fiber optic,No,No,No
CUST-0154,Male,0,12,Two year,Mailed check,91.12,876.98,Fiber optic,No,No,No
CUST-0155,Male,0,71,One year,Mailed check,91.6,6387.82,Fiber optic,No,Yes,Yes
CUST-0156,Male,0,44,One year,Mailed check,101.48,4131.21,DSL,Yes,No,No
CUST-0157,Male,0,17,One year,Bank transfer,74.48,1060.65,Fiber optic,No,Yes,No
CUST-0158,Male,0,21,Month-to-month,Credit card,117.65,2684.11,DSL,Yes,No,No
CUST-0159,Female,0,40,Month-to-month,Bank transfer,94.66,3043.43,Fiber optic,No internet,No,No
CUST-0160,Male,1,66,Month-to-month,Credit card,89.34,6072.59,Fiber optic,No,No,Yes
CUST-0161,Female,0,39,Month-to-month,Credit card,30.44,1152.37,Fiber optic,No,Yes,No
CUST-0162,Female,0,5,One year,Credit card,92.22,392.97,DSL,No,Yes,No
CUST-0163,Male,0,70,Month-to-month,Bank transfer,70.41,4420.27,No,No internet,No,Yes
CUST-0164,Male,0,70,Month-to-month,Electronic check,109.97,7609.54,Fiber optic,Yes,No internet,Yes
CUST-0165,Male,0,5,Month-to-month,Bank transfer,83.9,345.85,DSL,No,No,Yes
CUST-0166,Male,0,16,Month-to-month,Electronic check,34.55,587.7,Fiber optic,No internet,No internet,No
CUST-0167,Male,0,24,One year,Electronic check,51.57,1220.92,DSL,No,No internet,No
CUST-0168,Male,1,53,Two year,Mailed check,91.04,4022.95,DSL,No internet,Yes,No
CUST-0169,Male,0,64,One year,Bank transfer,85.42,6010.62,DSL,Yes,Yes,Yes
CUST-0170,Male,0,65,One year,Bank transfer,73.92,4211.54,DSL,Yes,Yes,No
CUST-0171,Male,0,64,Two year,Credit card,105.83,6360.55,Fiber optic,No internet,No,No
CUST-0172,Female,0,49,Two year,Credit card,86.18,4413.13,DSL,No,No,No
CUST-0173,Female,1,16,Month-to-month,Bank transfer,79.77,1354.06,DSL,No,No internet,No
CUST-0174,Male,0,58,One year,Credit card,33.72,2114.76,DSL,Yes,No,No
CUST-0175,Male,0,64,One year,Bank transfer,71.4,4486.1,Fiber optic,No,No,No
CUST-0176,Female,0,36,Month-to-month,Mailed check,38.42,1130.15,DSL,No,No internet,No
CUST-0177,Male,1,29,One year,Mailed check,82.56,2332.53,Fiber optic,Yes,Yes,No
CUST-0178,Male,0,25,One year,Bank transfer,81.97,1686.99,Fiber optic,No,No,No
CUST-0179,Male,1,58,One year,Credit card,103.45,4901.27,Fiber optic,No,No internet,No
CUST-0180,Female,0,3,One year,Credit card,37.59,98.18,DSL,No,No,No
CUST-0181,Female,0,16,One year,Bank transfer,45.34,775.15,Fiber optic,No internet,No internet,No
CUST-0182,Male,0,13,Two year,Bank transfer,49.22,568.48,No,Yes,No internet,No
CUST-0183,Female,0,48,One year,Credit card,110.7,4519.88,Fiber optic,No,Yes,No
CUST-0184,Male,0,30,Month-to-month,Bank transfer,34.39,857.75,DSL,No,Yes,No
CUST-0185,Female,0,53,One year,Mailed check,28.68,1324.04,DSL,Yes,Yes,No
CUST-0186,Male,0,47,Month-to-month,Bank transfer,23.9,1052.16,No,Yes,No,No
CUST-0187,Female,0,14,Two year,Electronic check,118.56,1669.8,Fiber optic,No internet,No,Yes
CUST-0188,Female,1,12,Month-to-month,Mailed check,41.77,412.77,No,No internet,Yes,No
CUST-0189,Male,0,49,Month-to-month,Electronic check,26.73,1153.12,DSL,No,Yes,No
CUST-0190,Female,1,4,One year,Mailed check,34.61,144.93,Fiber optic,Yes,Yes,Yes
CUST-0191,Female,0,58,Month-to-month,Electronic check,101.97,6504.53,No,No internet,No,Yes
CUST-0192,Female,0,5,Month-to-month,Mailed check,117.74,641.27,DSL,No internet,No,Yes
CUST-0193,Male,0,30,Month-to-month,Credit card,59.94,1664.56,DSL,Yes,Yes,No
CUST-0194,Male,1,41,One year,Mailed check,92.75,3939.47,DSL,No,No internet,Yes
CUST-0195,Male,0,34,One year,Electronic check,27.07,836.13,No,No,No,No
CUST-0196,Female,0,58,Two year,Electronic check,101.36,5964.04,Fiber optic,Yes,No,Yes
CUST-0197,Female,1,53,Month-to-month,Bank transfer,41.15,2226.34,No,No internet,No internet,Yes
CUST-0198,Female,0,5,Month-to-month,Mailed check,21.91,110.31,Fiber optic,Yes,No,No
CUST-0199,Male,0,60,One year,Credit card,64.27,3932.04,DSL,Yes,No,No
CUST-0200,Male,0,69,One year,Bank transfer,79.76,5622.75,Fiber optic,Yes,No internet,Yes
CUST-0201,Female,0,39,One year,Mailed check,64.15,2099.56,DSL,No,No,No
CUST-0202,Female,0,17,Month-to-month,Credit card,44.58,814.28,Fiber optic,No,Yes,Yes
CUST-0203,Male,0,71,Month-to-month,Bank transfer,112.99,7521.79,Fiber optic,No internet,No internet,Yes
CUST-0204,Female,0,58,Month-to-month,Credit card,71.73,3433.38,Fiber optic,Yes,No internet,No
CUST-0205,Female,0,5,Two year,Mailed check,48.94,230.97,DSL,No,Yes,No
CUST-0206,Male,0,48,Month-to-month,Mailed check,73.33,3867.59,DSL,Yes,No internet,No
CUST-0207,Female,1,49,Two year,Credit card,54.16,2392.57,DSL,Yes,No,Yes
CUST-0208,Female,0,25,Month-to-month,Electronic check,32.16,795.9,DSL,No internet,Yes,No
CUST-0209,Female,0,44,Month-to-month,Bank transfer,109.75,5178.27,Fiber optic,Yes,No internet,Yes
CUST-0210,Female,0,30,Month-to-month,Electronic check,114.09,2925.96,DSL,No,No internet,No
CUST-0211,Male,0,60,Month-to-month,Electronic check,34.31,1655.54,No,Yes,No,No
CUST-0212,Female,0,20,Month-to-month,Electronic check,27.22,547.3,DSL,No,Yes,No
CUST-0213,Female,0,13,Month-to-month,Mailed check,80.78,866.51,DSL,Yes,Yes,No
CUST-0214,Female,0,53,Two year,Credit card,40.65,2198.63,No,Yes,Yes,No
CUST-0215,Female,0,39,Two year,Mailed check,111.75,4486.25,DSL,No,No internet,Yes
CUST-0216,Female,0,15,Month-to-month,Mailed check,83.92,1096.04,No,No,Yes,No
CUST-0217,Male,0,16,Month-to-month,Electronic check,31.7,474.73,DSL,No,No,No
CUST-0218,Male,0,58,One year,Mailed check,59.42,3634.05,No,No internet,No,No
CUST-0219,Female,0,33,Two year,Credit card,92.61,3286.35,Fiber optic,No internet,No,No
CUST-0220,Female,0,11,Month-to-month,Bank transfer,36.89,380.71,Fiber optic,No,No,Yes
CUST-0221,Female,0,21,Two year,Electronic check,57.73,1063.78,DSL,No,Yes,No
CUST-0222,Male,0,3,Month-to-month,Bank transfer,48.61,148.28,Fiber optic,No internet,No,No
CUST-0223,Female,0,71,Month-to-month,Mailed check,92.27,5868.33,Fiber optic,Yes,Yes,No
CUST-0224,Female,1,63,Two year,Electronic check,57.63,3910.2,Fiber optic,No internet,Yes,No
CUST-0225,Female,0,30,Month-to-month,Mailed check,20.39,672.77,DSL,Yes,Yes,No
CUST-0226,Male,0,37,One year,Mailed check,73.97,2253.13,No,No,No internet,Yes
CUST-0227,Male,0,28,Month-to-month,Mailed check,30.84,917.73,Fiber optic,No,No internet,No
CUST-0228,Male,0,63,One year,Electronic check,37.34,2393.44,Fiber optic,No internet,No,No
CUST-0229,Female,0,21,Month-to-month,Credit card,50.12,920.63,Fiber optic,No internet,Yes,No
CUST-0230,Male,0,58,Month-to-month,Mailed check,66.0,3383.19,DSL,No internet,No,No
CUST-0231,Female,0,66,Month-to-month,Mailed check,79.35,4519.8,No,No,Yes,Yes
CUST-0232,Female,1,6,Month-to-month,Bank transfer,29.25,145.71,Fiber optic,Yes,No internet,Yes
CUST-0233,Male,0,57,Two year,Bank transfer,81.09,3699.46,Fiber optic,No internet,No,No
CUST-0234,Female,0,24,One year,Electronic check,108.88,2633.38,DSL,No,No,Yes
CUST-0235,Female,0,26,Month-to-month,Bank transfer,99.85,2627.69,Fiber optic,Yes,No internet,Yes
CUST-0236,Female,1,25,One year,Bank transfer,111.13,2684.43,Fiber optic,No,No internet,Yes
CUST-0237,Male,0,7,One year,Mailed check,41.55,251.97,DSL,Yes,Yes,No
CUST-0238,Male,0,25,Month-to-month,Bank transfer,37.4,842.66,Fiber optic,No,No internet,Yes
CUST-0239,Female,1,33,Two year,Mailed check,67.3,2122.97,DSL,No internet,No,No
CUST-0240,Male,0,2,Two year,Mailed check,26.56,51.25,Fiber optic,No internet,Yes,No
CUST-0241,Female,1,19,One year,Mailed check,26.24,456.27,Fiber optic,Yes,No,No
CUST-0242,Male,0,35,Two year,Bank transfer,91.79,3526.81,Fiber optic,No,Yes,No
CUST-0243,Female,0,48,Month-to-month,Credit card,68.53,3399.22,Fiber optic,No,No internet,No
CUST-0244,Male,1,17,Two year,Electronic check,68.38,1184.0,Fiber optic,No,Yes,No
CUST-0245,Female,0,6,One year,Electronic check,70.95,410.26,No,No,No,No
CUST-0246,Male,0,25,Month-to-month,Bank transfer,117.89,2699.42,DSL,No,No,Yes
CUST-0247,Male,0,30,One year,Credit card,30.52,917.07,No,No,No,No
CUST-0248,Male,0,58,One year,Mailed check,20.74,1149.34,No,No,No,Yes
CUST-0249,Male,0,55,Month-to-month,Credit card,104.85,6180.84,No,No,No,No
CUST-0250,Female,0,33,Two year,Electronic check,86.4,2570.39,DSL,No,No internet,No
CUST-0251,Male,0,54,One year,Credit card,73.01,3186.96,Fiber optic,No,Yes,No
CUST-0252,Female,0,8,Month-to-month,Bank transfer,95.02,766.26,DSL,No,No internet,No
CUST-0253,Male,0,64,Two year,Credit card,40.35,2742.53,DSL,No,No internet,Yes
CUST-0254,Female,1,31,Month-to-month,Credit card,105.66,3009.55,No,No,No,Yes
CUST-0255,Male,1,43,Month-to-month,Credit card,53.63,2250.8,Fiber optic,No,Yes,Yes
CUST-0256,Male,0,31,Two year,Bank transfer,108.16,3200.59,DSL,Yes,No,No
CUST-0257,Male,0,46,One year,Bank transfer,45.24,2074.89,Fiber optic,No,Yes,No
CUST-0258,Female,0,44,Two year,Mailed check,119.68,4892.58,Fiber optic,No,Yes,No
CUST-0259,Male,0,34,Two year,Mailed check,89.11,3226.55,No,No,Yes,No
CUST-0260,Male,0,49,One year,Bank transfer,85.79,4401.99,No,No,Yes,No
CUST-0261,Female,0,54,One year,Mailed check,92.76,4953.75,DSL,Yes,No,No
CUST-0262,Female,0,43,Month-to-month,Electronic check,91.47,3859.02,No,Yes,No,Yes
CUST-0263,Male,0,25,Month-to-month,Bank transfer,72.43,1971.7,DSL,No,Yes,No
CUST-0264,Male,1,57,Month-to-month,Bank transfer,54.89,3369.49,DSL,No internet,No,Yes
CUST-0265,Male,0,31,One year,Electronic check,118.08,3099.36,DSL,Yes,No internet,Yes
CUST-0266,Male,1,44,One year,Credit card,28.0,1118.46,DSL,Yes,No internet,No
CUST-0267,Female,0,70,Month-to-month,Electronic check,26.13,1855.38,DSL,No,No internet,No
CUST-0268,Male,0,65,One year,Electronic check,34.44,2087.76,DSL,No,No,No
CUST-0269,Female,0,17,Month-to-month,Mailed check,95.49,1763.83,Fiber optic,Yes,No,Yes
CUST-0270,Female,0,21,One year,Credit card,58.65,1140.6,No,Yes,No,No
CUST-0271,Male,1,16,Month-to-month,Bank transfer,57.62,993.53,No,No,No,No
CUST-0272,Female,0,13,Month-to-month,Bank transfer,39.11,527.32,No,No,Yes,No
CUST-0273,Male,1,12,Month-to-month,Credit card,112.08,1310.63,No,No,Yes,No
CUST-0274,Male,0,70,Two year,Mailed check,98.19,5901.47,Fiber optic,No,No,Yes
CUST-0275,Male,0,25,Month-to-month,Bank transfer,70.17,1785.2,Fiber optic,No internet,Yes,Yes
CUST-0276,Female,0,38,One year,Electronic check,75.59,2900.74,Fiber optic,No,No,No
CUST-0277,Male,0,31,One year,Mailed check,28.54,827.18,No,Yes,No,No
CUST-0278,Female,0,10,Month-to-month,Credit card,109.22,1014.96,Fiber optic,No,No,Yes
CUST-0279,Male,0,71,Month-to-month,Electronic check,33.5,2114.14,Fiber optic,No internet,No,No
CUST-0280,Female,1,12,One year,Bank transfer,35.2,354.43,DSL,Yes,No internet,No
CUST-0281,Male,0,24,One year,Bank transfer,107.45,2096.64,DSL,No,No,No
CUST-0282,Male,0,54,Month-to-month,Credit card,55.17,2869.09,Fiber optic,No internet,No,Yes
CUST-0283,Male,0,32,One year,Bank transfer,55.89,1758.1,DSL,Yes,No,No
CUST-0284,Male,0,49,One year,Electronic check,46.72,1999.37,Fiber optic,Yes,Yes,No
CUST-0285,Male,0,39,Month-to-month,Bank transfer,28.93,1050.8,DSL,No internet,No,Yes
CUST-0286,Female,0,64,Month-to-month,Credit card,53.74,2844.04,DSL,No internet,No,No
CUST-0287,Female,1,4,One year,Electronic check,90.88,310.21,Fiber optic,No,No,No
CUST-0288,Male,0,10,Two year,Mailed check,87.92,722.9,Fiber optic,No,Yes,No
CUST-0289,Male,0,23,Two year,Electronic check,37.56,737.12,Fiber optic,No,Yes,No
CUST-0290,Female,0,41,One year,Credit card,75.98,2978.22,Fiber optic,No internet,Yes,No
CUST-0291,Female,0,51,Month-to-month,Electronic check,93.68,4472.03,Fiber optic,No,No,No
CUST-0292,Male,0,61,Month-to-month,Electronic check,97.83,6459.15,DSL,Yes,Yes,No
