date,product,category,region,quantity,unit_price,revenue
2023-01-22,Granola,Food & Beverage,West,28,36.67,1026.76
2023-01-22,Sunscreen SPF50,Beauty,Northeast,28,56.66,1586.48
2023-01-23,Wireless Earbuds,Electronics,West,27,66.93,1807.11
2023-01-24,Protein Bars,Food & Beverage,Midwest,3,6.01,18.03
2023-01-25,USB-C Hub,Electronics,West,33,22.38,738.54
2023-01-25,LED Desk Lamp,Home & Garden,Southeast,49,14.41,706.09
2023-01-26,Jump Rope,Sports,Northeast,39,77.1,3006.9
2023-01-27,Protein Bars,Food & Beverage,Southeast,17,43.68,742.56
2023-01-28,Polo Shirt,Clothing,Northeast,23,45.4,1044.2
2023-01-28,Tablet,Electronics,Southeast,2,81.99,163.98
2023-01-29,Hair Oil,Beauty,Northeast,11,58.6,644.6
2023-01-30,Sheet Masks,Beauty,Midwest,34,96.86,3293.24
2023-01-30,Wireless Earbuds,Electronics,Midwest,6,105.89,635.34
2023-01-31,Jump Rope,Sports,Midwest,36,7.41,266.76
2023-02-01,Wall Art,Home & Garden,Northeast,32,18.95,606.4
2023-02-02,Smart Watch,Electronics,West,40,24.94,997.6
2023-02-02,Wireless Earbuds,Electronics,Southeast,23,83.51,1920.73
2023-02-03,Wall Art,Home & Garden,Northeast,16,123.5,1976.0
2023-02-04,Jump Rope,Sports,West,49,40.07,1963.43
2023-02-05,Smoothie Mix,Food & Beverage,Northeast,32,96.8,3097.6
2023-02-05,Tablet,Electronics,Midwest,19,110.26,2094.94
2023-02-06,Yoga Mat,Sports,Northeast,24,128.38,3081.12
2023-02-07,Jump Rope,Sports,Northeast,35,58.98,2064.3
2023-02-07,LED Desk Lamp,Home & Garden,Southeast,29,46.17,1338.93
2023-02-08,Denim Jeans,Clothing,West,16,149.2,2387.2
2023-02-09,Bluetooth Speaker,Electronics,West,33,76.61,2528.13
2023-02-10,LED Desk Lamp,Home & Garden,Midwest,33,83.67,2761.11
2023-02-10,Candle Set,Home & Garden,Southeast,8,96.52,772.16
2023-02-11,Protein Bars,Food & Beverage,Northeast,28,101.99,2855.72
2023-02-12,Granola,Food & Beverage,Midwest,48,45.71,2194.08
2023-02-13,Wireless Earbuds,Electronics,Southwest,44,141.37,6220.28
2023-02-13,Sheet Masks,Beauty,Northeast,6,58.67,352.02
2023-02-14,Smoothie Mix,Food & Beverage,Midwest,49,85.15,4172.35
2023-02-15,Yoga Mat,Sports,Northeast,21,32.68,686.28
2023-02-16,Plant Pot Set,Home & Garden,Southeast,25,62.23,1555.75
2023-02-16,Plant Pot Set,Home & Garden,Southeast,32,102.32,3274.24
2023-02-17,Plant Pot Set,Home & Garden,Northeast,2,51.77,103.54
2023-02-18,Tablet,Electronics,Southeast,48,85.16,4087.68
2023-02-18,Denim Jeans,Clothing,West,25,93.67,2341.75
2023-02-19,Running Shoes,Clothing,Northeast,36,120.75,4347.0
2023-02-20,Hair Oil,Beauty,Southeast,23,9.0,207.0
2023-02-21,Denim Jeans,Clothing,Southwest,25,27.48,687.0
2023-02-21,Lip Balm,Beauty,Southeast,22,41.29,908.38
2023-02-22,Sunscreen SPF50,Beauty,Southwest,37,80.73,2987.01
2023-02-23,Jump Rope,Sports,West,44,95.32,4194.08
2023-02-24,Sheet Masks,Beauty,Midwest,32,82.05,2625.6
2023-02-24,Dumbbells,Sports,Northeast,42,51.83,2176.86
2023-02-25,Wall Art,Home & Garden,Southwest,26,8.68,225.68
2023-02-26,Face Serum,Beauty,Southeast,12,64.3,771.6
2023-02-26,Running Shoes,Clothing,Northeast,47,41.29,1940.63
2023-02-27,Smoothie Mix,Food & Beverage,Southwest,1,143.46,143.46
2023-02-28,Sheet Masks,Beauty,Midwest,3,40.92,122.76
2023-03-01,Protein Bars,Food & Beverage,Southwest,29,21.83,633.07
2023-03-01,Bluetooth Speaker,Electronics,Southeast,5,73.76,368.8
2023-03-02,Sneakers,Clothing,Southwest,39,55.21,2153.19
2023-03-03,Winter Jacket,Clothing,West,5,133.57,667.85
2023-03-04,Winter Jacket,Clothing,Northeast,19,77.95,1481.05
2023-03-04,Smoothie Mix,Food & Beverage,Southeast,4,94.3,377.2
2023-03-05,Bluetooth Speaker,Electronics,West,32,141.33,4522.56
2023-03-06,Denim Jeans,Clothing,Midwest,33,71.45,2357.85
2023-03-07,Candle Set,Home & Garden,Northeast,12,60.98,731.76
2023-03-07,Denim Jeans,Clothing,West,44,44.72,1967.68
2023-03-08,Lip Balm,Beauty,Southeast,35,53.8,1883.0
2023-03-09,Green Tea,Food & Beverage,Southeast,10,8.37,83.7
2023-03-09,LED Desk Lamp,Home & Garden,Southwest,7,22.13,154.91
2023-03-10,Sneakers,Clothing,West,11,132.23,1454.53
2023-03-11,USB-C Hub,Electronics,Northeast,36,30.73,1106.28
2023-03-12,LED Desk Lamp,Home & Garden,Southeast,35,64.83,2269.05
2023-03-12,USB-C Hub,Electronics,Southwest,12,67.2,806.4
2023-03-13,Tablet,Electronics,Northeast,41,59.77,2450.57
2023-03-14,Hair Oil,Beauty,Southwest,48,61.49,2951.52
2023-03-15,Throw Blanket,Home & Garden,Southwest,49,12.76,625.24
2023-03-15,Tablet,Electronics,West,12,56.46,677.52
2023-03-16,Hair Oil,Beauty,Southwest,19,76.49,1453.31
2023-03-17,Coffee Beans,Food & Beverage,Midwest,12,52.66,631.92
2023-03-17,Granola,Food & Beverage,Southwest,23,118.29,2720.67
2023-03-18,Green Tea,Food & Beverage,Southeast,39,149.41,5826.99
2023-03-19,Coffee Beans,Food & Beverage,Midwest,23,84.16,1935.68
2023-03-20,Polo Shirt,Clothing,West,9,115.42,1038.78
2023-03-20,USB-C Hub,Electronics,Southwest,38,17.2,653.6
2023-03-21,Running Shoes,Clothing,Southwest,27,107.41,2900.07
2023-03-22,Smoothie Mix,Food & Beverage,Southwest,38,148.06,5626.28
2023-03-23,Bluetooth Speaker,Electronics,Northeast,17,142.35,2419.95
2023-03-23,Granola,Food & Beverage,Midwest,36,59.56,2144.16
2023-03-24,Granola,Food & Beverage,Southeast,39,66.51,2593.89
2023-03-25,Throw Blanket,Home & Garden,West,45,6.65,299.25
2023-03-26,Lip Balm,Beauty,Southwest,20,22.23,444.6
2023-03-26,Wireless Earbuds,Electronics,Northeast,3,89.59,268.77
2023-03-27,Yoga Mat,Sports,Southwest,25,130.95,3273.75
2023-03-28,Lip Balm,Beauty,Southwest,44,146.8,6459.2
2023-03-28,Smoothie Mix,Food & Beverage,Midwest,16,81.52,1304.32
2023-03-29,Dumbbells,Sports,West,36,85.31,3071.16
2023-03-30,Smart Watch,Electronics,Northeast,47,96.26,4524.22
2023-03-31,Coffee Beans,Food & Beverage,Midwest,16,111.88,1790.08
2023-03-31,Resistance Bands,Sports,West,32,13.39,428.48
2023-04-01,Dumbbells,Sports,West,8,29.6,236.8
2023-04-02,Winter Jacket,Clothing,Northeast,28,16.27,455.56
2023-04-03,Water Bottle,Sports,Southwest,17,45.57,774.69
2023-04-03,Dumbbells,Sports,Southwest,28,44.29,1240.12
2023-04-04,Sunscreen SPF50,Beauty,Southwest,6,142.72,856.32
2023-04-05,Smart Watch,Electronics,Southeast,10,140.25,1402.5
2023-04-05,Candle Set,Home & Garden,Northeast,5,8.82,44.1
2023-04-06,Face Serum,Beauty,Northeast,18,148.16,2666.88
2023-04-07,Candle Set,Home & Garden,Midwest,26,60.23,1565.98
2023-04-08,LED Desk Lamp,Home & Garden,Northeast,13,14.21,184.73
2023-04-08,LED Desk Lamp,Home & Garden,West,21,13.17,276.57
2023-04-09,USB-C Hub,Electronics,Midwest,31,113.74,3525.94
2023-04-10,Smoothie Mix,Food & Beverage,Midwest,37,114.78,4246.86
2023-04-11,USB-C Hub,Electronics,Northeast,14,34.73,486.22
2023-04-11,Candle Set,Home & Garden,Northeast,13,35.05,455.65
2023-04-12,Smart Watch,Electronics,Southeast,28,43.96,1230.88
2023-04-13,Winter Jacket,Clothing,West,3,80.42,241.26
2023-04-14,Bluetooth Speaker,Electronics,Midwest,5,17.82,89.1
2023-04-14,Wireless Earbuds,Electronics,Southwest,48,74.61,3581.28
2023-04-15,Green Tea,Food & Beverage,West,11,35.88,394.68
2023-04-16,Winter Jacket,Clothing,Midwest,34,97.31,3308.54
2023-04-16,Plant Pot Set,Home & Garden,West,38,70.38,2674.44
2023-04-17,Lip Balm,Beauty,West,17,142.68,2425.56
2023-04-18,Running Shoes,Clothing,West,10,116.49,1164.9
2023-04-19,Green Tea,Food & Beverage,Southwest,6,76.43,458.58
2023-04-19,Sunscreen SPF50,Beauty,Midwest,43,39.82,1712.26
2023-04-20,Tablet,Electronics,West,16,97.93,1566.88
2023-04-21,Tablet,Electronics,Southwest,32,73.72,2359.04
2023-04-22,Sneakers,Clothing,Southeast,19,124.16,2359.04
2023-04-22,Resistance Bands,Sports,Northeast,22,17.86,392.92
2023-04-23,Protein Bars,Food & Beverage,Southeast,12,34.92,419.04
2023-04-24,Smart Watch,Electronics,Southeast,45,51.63,2323.35
2023-04-24,Wireless Earbuds,Electronics,Midwest,22,16.86,370.92
2023-04-25,Protein Bars,Food & Beverage,Northeast,26,130.9,3403.4
2023-04-26,Candle Set,Home & Garden,Southeast,15,82.81,1242.15
2023-04-27,Resistance Bands,Sports,Midwest,45,14.04,631.8
2023-04-27,Throw Blanket,Home & Garden,Midwest,47,127.44,5989.68
2023-04-28,Dumbbells,Sports,Midwest,18,69.87,1257.66
2023-04-29,LED Desk Lamp,Home & Garden,Northeast,37,31.43,1162.91
2023-04-30,Smart Watch,Electronics,Southwest,44,38.82,1708.08
2023-04-30,Yoga Mat,Sports,Northeast,4,56.49,225.96
2023-05-01,Green Tea,Food & Beverage,Southeast,47,89.71,4216.37
2023-05-02,Bluetooth Speaker,Electronics,Southwest,19,59.92,1138.48
2023-05-03,Hair Oil,Beauty,Midwest,26,93.1,2420.6
2023-05-03,Candle Set,Home & Garden,Northeast,6,92.84,557.04
2023-05-04,Smoothie Mix,Food & Beverage,West,6,57.98,347.88
2023-05-05,Sunscreen SPF50,Beauty,Northeast,30,30.14,904.2
2023-05-05,Throw Blanket,Home & Garden,West,31,64.51,1999.81
2023-05-06,Lip Balm,Beauty,West,20,145.57,2911.4
2023-05-07,Face Serum,Beauty,Midwest,30,29.78,893.4
2023-05-08,Face Serum,Beauty,Southeast,2,85.73,171.46
2023-05-08,Candle Set,Home & Garden,Southeast,44,34.74,1528.56
2023-05-09,Hair Oil,Beauty,West,19,33.93,644.67
2023-05-10,Bluetooth Speaker,Electronics,Southwest,47,107.55,5054.85
2023-05-11,Sunscreen SPF50,Beauty,Midwest,36,51.49,1853.64
2023-05-11,Smart Watch,Electronics,Southeast,10,84.55,845.5
2023-05-12,Resistance Bands,Sports,West,13,104.26,1355.38
2023-05-13,USB-C Hub,Electronics,Midwest,9,115.23,1037.07
2023-05-13,Sunscreen SPF50,Beauty,Southwest,30,20.47,614.1
2023-05-14,Hair Oil,Beauty,Southwest,44,64.24,2826.56
2023-05-15,LED Desk Lamp,Home & Garden,Midwest,34,31.28,1063.52
2023-05-16,Bluetooth Speaker,Electronics,Northeast,29,25.27,732.83
2023-05-16,Granola,Food & Beverage,Southwest,30,124.64,3739.2
2023-05-17,Coffee Beans,Food & Beverage,West,14,80.84,1131.76
2023-05-18,USB-C Hub,Electronics,Midwest,42,61.9,2599.8
2023-05-19,Protein Bars,Food & Beverage,Northeast,23,68.62,1578.26
2023-05-19,Wireless Earbuds,Electronics,Southeast,33,61.76,2038.08
2023-05-20,Sheet Masks,Beauty,Midwest,40,38.21,1528.4
2023-05-21,Sunscreen SPF50,Beauty,Southeast,7,110.93,776.51
2023-05-22,Dumbbells,Sports,Midwest,33,82.35,2717.55
2023-05-22,Dumbbells,Sports,Southwest,38,114.1,4335.8
2023-05-23,Coffee Beans,Food & Beverage,Southeast,33,9.86,325.38
2023-05-24,Sneakers,Clothing,Southwest,10,54.6,546.0
2023-05-24,Dumbbells,Sports,Southwest,24,92.57,2221.68
2023-05-25,Smoothie Mix,Food & Beverage,Southwest,47,64.3,3022.1
2023-05-26,Denim Jeans,Clothing,West,31,91.77,2844.87
2023-05-27,Resistance Bands,Sports,West,43,91.86,3949.98
2023-05-27,Plant Pot Set,Home & Garden,Southeast,40,89.59,3583.6
2023-05-28,Sunscreen SPF50,Beauty,Southeast,12,137.22,1646.64
2023-05-29,Wireless Earbuds,Electronics,Midwest,47,110.28,5183.16
2023-05-30,Jump Rope,Sports,Southwest,36,138.22,4975.92
2023-05-30,Green Tea,Food & Beverage,Southeast,49,88.56,4339.44
2023-05-31,Tablet,Electronics,Northeast,29,20.12,583.48
2023-06-01,Sunscreen SPF50,Beauty,Southwest,23,22.81,524.63
2023-06-01,Green Tea,Food & Beverage,Northeast,46,32.02,1472.92
2023-06-02,Tablet,Electronics,Northeast,40,93.14,3725.6
2023-06-03,Protein Bars,Food & Beverage,Southwest,10,121.41,1214.1
2023-06-04,Running Shoes,Clothing,Northeast,35,62.73,2195.55
2023-06-04,Denim Jeans,Clothing,Southeast,38,55.22,2098.36
2023-06-05,Plant Pot Set,Home & Garden,Midwest,27,70.57,1905.39
2023-06-06,Wall Art,Home & Garden,West,24,88.76,2130.24
2023-06-07,Sheet Masks,Beauty,Southwest,24,50.16,1203.84
2023-06-07,Plant Pot Set,Home & Garden,Northeast,28,35.84,1003.52
2023-06-08,Bluetooth Speaker,Electronics,West,41,26.56,1088.96
2023-06-09,Protein Bars,Food & Beverage,Southwest,7,91.33,639.31
2023-06-10,Sunscreen SPF50,Beauty,Southwest,19,55.66,1057.54
2023-06-10,USB-C Hub,Electronics,Midwest,29,73.45,2130.05
2023-06-11,Running Shoes,Clothing,Southeast,14,108.54,1519.56
2023-06-12,Polo Shirt,Clothing,Midwest,49,63.11,3092.39
2023-06-12,Yoga Mat,Sports,Midwest,8,129.96,1039.68
2023-06-13,Winter Jacket,Clothing,West,19,98.38,1869.22
2023-06-14,Bluetooth Speaker,Electronics,Southwest,32,108.82,3482.24
2023-06-15,Wireless Earbuds,Electronics,Midwest,3,38.51,115.53
2023-06-15,Protein Bars,Food & Beverage,Midwest,47,87.57,4115.79
2023-06-16,Bluetooth Speaker,Electronics,Midwest,47,109.52,5147.44
2023-06-17,Sunscreen SPF50,Beauty,Southwest,16,62.59,1001.44
2023-06-18,Sheet Masks,Beauty,Southeast,14,47.51,665.14
2023-06-18,Running Shoes,Clothing,Southwest,23,127.98,2943.54
2023-06-19,Wall Art,Home & Garden,Southeast,29,66.11,1917.19
2023-06-20,USB-C Hub,Electronics,Southeast,20,53.7,1074.0
2023-06-20,Wall Art,Home & Garden,Northeast,20,95.5,1910.0
2023-06-21,Sneakers,Clothing,Southeast,44,36.83,1620.52
2023-06-22,Hair Oil,Beauty,Midwest,24,21.56,517.44
2023-06-23,Face Serum,Beauty,Southeast,17,43.96,747.32
2023-06-23,Protein Bars,Food & Beverage,Midwest,39,36.61,1427.79
2023-06-24,Hair Oil,Beauty,Southwest,26,81.23,2111.98
2023-06-25,Sneakers,Clothing,Southwest,11,124.27,1366.97
2023-06-26,Polo Shirt,Clothing,Northeast,41,44.74,1834.34
2023-06-26,Protein Bars,Food & Beverage,Southwest,38,125.31,4761.78
2023-06-27,Sneakers,Clothing,Midwest,27,135.5,3658.5
2023-06-28,Polo Shirt,Clothing,Southeast,45,101.43,4564.35
2023-06-29,Protein Bars,Food & Beverage,Southeast,26,63.64,1654.64
2023-06-29,Lip Balm,Beauty,Southwest,43,31.73,1364.39
2023-06-30,Water Bottle,Sports,Midwest,26,14.9,387.4
2023-07-01,Wall Art,Home & Garden,Midwest,49,109.62,5371.38
2023-07-01,Lip Balm,Beauty,Southwest,47,143.34,6736.98
2023-07-02,Smart Watch,Electronics,Midwest,36,83.28,2998.08
2023-07-03,Wall Art,Home & Garden,Midwest,43,127.73,5492.39
2023-07-04,Coffee Beans,Food & Beverage,Southeast,34,95.38,3242.92
2023-07-04,Protein Bars,Food & Beverage,Northeast,9,55.97,503.73
2023-07-05,USB-C Hub,Electronics,Northeast,43,91.75,3945.25
2023-07-06,Throw Blanket,Home & Garden,Midwest,37,5.34,197.58
2023-07-07,Lip Balm,Beauty,West,12,57.34,688.08
2023-07-07,Throw Blanket,Home & Garden,Southeast,49,24.84,1217.16
2023-07-08,Wireless Earbuds,Electronics,Midwest,47,17.57,825.79
2023-07-09,Protein Bars,Food & Beverage,Northeast,23,109.99,2529.77
2023-07-09,Running Shoes,Clothing,Southeast,12,37.08,444.96
2023-07-10,USB-C Hub,Electronics,Southeast,26,10.72,278.72
2023-07-11,Smart Watch,Electronics,Southwest,21,73.62,1546.02
2023-07-12,Tablet,Electronics,Midwest,48,21.72,1042.56
2023-07-12,Green Tea,Food & Beverage,Midwest,31,130.0,4030.0
2023-07-13,Denim Jeans,Clothing,Midwest,42,98.46,4135.32
2023-07-14,Jump Rope,Sports,Southwest,45,16.16,727.2
2023-07-15,Plant Pot Set,Home & Garden,Northeast,23,14.48,333.04
2023-07-15,Dumbbells,Sports,Southeast,22,51.22,1126.84
2023-07-16,USB-C Hub,Electronics,Southeast,42,132.12,5549.04
2023-07-17,Plant Pot Set,Home & Garden,Southwest,34,8.08,274.72
2023-07-18,Green Tea,Food & Beverage,Midwest,32,140.23,4487.36
2023-07-18,Hair Oil,Beauty,Southwest,29,116.24,3370.96
2023-07-19,Sheet Masks,Beauty,West,44,95.99,4223.56
2023-07-20,Smart Watch,Electronics,West,30,65.58,1967.4
2023-07-20,Protein Bars,Food & Beverage,Southwest,30,5.49,164.7
2023-07-21,Lip Balm,Beauty,Southwest,4,108.76,435.04
2023-07-22,Wireless Earbuds,Electronics,Northeast,46,11.54,530.84
2023-07-23,Bluetooth Speaker,Electronics,Southwest,12,143.68,1724.16
2023-07-23,Smoothie Mix,Food & Beverage,Midwest,43,90.34,3884.62
2023-07-24,Sheet Masks,Beauty,West,34,29.22,993.48
2023-07-25,Water Bottle,Sports,Southwest,8,141.7,1133.6
2023-07-26,Candle Set,Home & Garden,Southeast,46,38.45,1768.7
2023-07-26,Smart Watch,Electronics,Midwest,41,32.03,1313.23
2023-07-27,Sheet Masks,Beauty,Northeast,5,96.32,481.6
2023-07-28,Tablet,Electronics,Southwest,20,149.26,2985.2
2023-07-28,Plant Pot Set,Home & Garden,Northeast,35,114.94,4022.9
2023-07-29,Throw Blanket,Home & Garden,Southwest,38,95.33,3622.54
2023-07-30,Wireless Earbuds,Electronics,Southeast,4,89.11,356.44
2023-07-31,LED Desk Lamp,Home & Garden,Southwest,3,44.58,133.74
2023-07-31,Tablet,Electronics,Southeast,25,128.57,3214.25
2023-08-01,Wireless Earbuds,Electronics,Southeast,5,111.61,558.05
2023-08-02,Water Bottle,Sports,Southeast,5,12.07,60.35
2023-08-03,Sheet Masks,Beauty,Southwest,48,104.07,4995.36
2023-08-03,Protein Bars,Food & Beverage,Southwest,40,133.02,5320.8
2023-08-04,Plant Pot Set,Home & Garden,Southeast,3,55.43,166.29
2023-08-05,Candle Set,Home & Garden,Midwest,45,111.42,5013.9
2023-08-06,Yoga Mat,Sports,Midwest,48,107.71,5170.08
2023-08-06,Protein Bars,Food & Beverage,Midwest,42,20.35,854.7
2023-08-07,Hair Oil,Beauty,Southwest,7,132.84,929.88
2023-08-08,Running Shoes,Clothing,Southeast,31,124.74,3866.94
2023-08-08,Candle Set,Home & Garden,Southeast,30,136.76,4102.8
2023-08-09,Resistance Bands,Sports,West,14,114.71,1605.94
2023-08-10,Sneakers,Clothing,Northeast,46,52.33,2407.18
2023-08-11,Smart Watch,Electronics,Midwest,24,123.71,2969.04
2023-08-11,Lip Balm,Beauty,West,41,144.63,5929.83
2023-08-12,Dumbbells,Sports,West,29,119.38,3462.02
2023-08-13,Resistance Bands,Sports,Northeast,4,48.64,194.56
2023-08-14,Yoga Mat,Sports,Southeast,10,73.67,736.7
2023-08-14,Plant Pot Set,Home & Garden,Southwest,14,146.16,2046.24
2023-08-15,Jump Rope,Sports,West,35,91.19,3191.65
2023-08-16,Coffee Beans,Food & Beverage,Midwest,33,51.92,1713.36
2023-08-16,Plant Pot Set,Home & Garden,Southeast,23,69.66,1602.18
2023-08-17,Granola,Food & Beverage,Northeast,17,19.82,336.94
2023-08-18,Smoothie Mix,Food & Beverage,Southeast,11,37.01,407.11
2023-08-19,Hair Oil,Beauty,Midwest,22,24.04,528.88
2023-08-19,Bluetooth Speaker,Electronics,Southwest,28,111.03,3108.84
2023-08-20,Wall Art,Home & Garden,Southwest,6,115.21,691.26
2023-08-21,Throw Blanket,Home & Garden,Southeast,1,51.51,51.51
2023-08-22,Coffee Beans,Food & Beverage,West,49,99.49,4875.01
2023-08-22,Polo Shirt,Clothing,West,16,83.77,1340.32
2023-08-23,Face Serum,Beauty,Midwest,17,18.22,309.74
2023-08-24,Lip Balm,Beauty,West,7,95.8,670.6
2023-08-25,Granola,Food & Beverage,Northeast,3,31.89,95.67
2023-08-25,Face Serum,Beauty,Northeast,44,40.89,1799.16
2023-08-26,Face Serum,Beauty,Southwest,22,89.39,1966.58
2023-08-27,Denim Jeans,Clothing,Southwest,13,26.69,346.97
2023-08-27,Winter Jacket,Clothing,Midwest,46,146.33,6731.18
2023-08-28,Protein Bars,Food & Beverage,Northeast,33,143.13,4723.29
2023-08-29,Throw Blanket,Home & Garden,West,24,26.16,627.84
2023-08-30,Bluetooth Speaker,Electronics,Southeast,20,55.17,1103.4
2023-08-30,Yoga Mat,Sports,Northeast,2,82.47,164.94
2023-08-31,Protein Bars,Food & Beverage,Southeast,13,16.39,213.07
2023-09-01,Lip Balm,Beauty,Southeast,46,105.51,4853.46
2023-09-02,Polo Shirt,Clothing,Southwest,49,142.97,7005.53
2023-09-02,Throw Blanket,Home & Garden,Northeast,6,91.24,547.44
2023-09-03,Smart Watch,Electronics,Southeast,12,131.29,1575.48
2023-09-04,Jump Rope,Sports,Midwest,47,123.15,5788.05
2023-09-04,Jump Rope,Sports,Southeast,6,123.51,741.06
2023-09-05,LED Desk Lamp,Home & Garden,Southeast,42,68.6,2881.2
2023-09-06,Hair Oil,Beauty,Northeast,23,99.29,2283.67
2023-09-07,Coffee Beans,Food & Beverage,West,19,146.5,2783.5
2023-09-07,Smoothie Mix,Food & Beverage,Southeast,32,77.24,2471.68
2023-09-08,Lip Balm,Beauty,Northeast,19,38.13,724.47
2023-09-09,Throw Blanket,Home & Garden,Midwest,28,33.93,950.04
2023-09-10,Smoothie Mix,Food & Beverage,West,15,42.36,635.4
2023-09-10,USB-C Hub,Electronics,West,31,65.31,2024.61
2023-09-11,Granola,Food & Beverage,West,28,58.8,1646.4
2023-09-12,Resistance Bands,Sports,Northeast,49,79.53,3896.97
2023-09-13,Resistance Bands,Sports,Southeast,34,75.57,2569.38
2023-09-13,Polo Shirt,Clothing,Midwest,6,99.98,599.88
2023-09-14,Plant Pot Set,Home & Garden,Southeast,12,60.66,727.92
2023-09-15,Protein Bars,Food & Beverage,West,35,117.52,4113.2
2023-09-15,Lip Balm,Beauty,Southeast,44,59.06,2598.64
2023-09-16,Smoothie Mix,Food & Beverage,West,38,76.38,2902.44
2023-09-17,Protein Bars,Food & Beverage,Northeast,20,90.98,1819.6
2023-09-18,LED Desk Lamp,Home & Garden,Southwest,28,42.43,1188.04
2023-09-18,Protein Bars,Food & Beverage,West,40,91.81,3672.4
2023-09-19,Coffee Beans,Food & Beverage,Southeast,10,15.66,156.6
2023-09-20,Green Tea,Food & Beverage,Northeast,12,125.19,1502.28
2023-09-21,Granola,Food & Beverage,Northeast,8,94.49,755.92
2023-09-21,Bluetooth Speaker,Electronics,Southwest,28,10.32,288.96
2023-09-22,Granola,Food & Beverage,West,37,118.36,4379.32
2023-09-23,Jump Rope,Sports,Southeast,20,44.11,882.2
2023-09-23,USB-C Hub,Electronics,Northeast,20,12.5,250.0
2023-09-24,Candle Set,Home & Garden,Midwest,5,19.98,99.9
2023-09-25,Hair Oil,Beauty,Southeast,42,62.62,2630.04
2023-09-26,Throw Blanket,Home & Garden,Southwest,34,51.85,1762.9
2023-09-26,Tablet,Electronics,West,23,101.7,2339.1
2023-09-27,Sheet Masks,Beauty,West,16,141.27,2260.32
2023-09-28,Sneakers,Clothing,Southwest,1,110.97,110.97
2023-09-29,Sheet Masks,Beauty,Southeast,47,30.69,1442.43
2023-09-29,Smart Watch,Electronics,Southeast,43,104.07,4475.01
2023-09-30,Running Shoes,Clothing,Northeast,26,130.99,3405.74
2023-10-01,Water Bottle,Sports,West,8,120.35,962.8
2023-10-02,Wireless Earbuds,Electronics,Southwest,19,141.43,2687.17
2023-10-02,Protein Bars,Food & Beverage,Southeast,26,55.54,1444.04
2023-10-03,Running Shoes,Clothing,Southwest,33,64.0,2112.0
2023-10-04,USB-C Hub,Electronics,Midwest,13,46.86,609.18
2023-10-04,Resistance Bands,Sports,Midwest,38,52.42,1991.96
2023-10-05,Lip Balm,Beauty,Midwest,18,132.29,2381.22
2023-10-06,Coffee Beans,Food & Beverage,Northeast,1,22.43,22.43
2023-10-07,Protein Bars,Food & Beverage,Southwest,12,93.43,1121.16
2023-10-07,Wall Art,Home & Garden,Northeast,29,70.06,2031.74
2023-10-08,Tablet,Electronics,Midwest,44,7.13,313.72
2023-10-09,Plant Pot Set,Home & Garden,Midwest,2,72.21,144.42
2023-10-10,Green Tea,Food & Beverage,West,8,80.27,642.16
2023-10-10,Smoothie Mix,Food & Beverage,Southwest,26,20.79,540.54
2023-10-11,Sneakers,Clothing,Midwest,15,82.37,1235.55
2023-10-12,Lip Balm,Beauty,Southwest,44,143.55,6316.2
2023-10-12,Coffee Beans,Food & Beverage,West,16,98.88,1582.08
2023-10-13,Bluetooth Speaker,Electronics,West,11,60.11,661.21
